,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
5249502,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2012,53.1687479658459
5249637,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2012,1.92286357507182
5249872,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2012,1.11175397055965
5249974,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2012,1.70956
5250031,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,11.5808626779407
5419953,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2013,51.5099862231678
5420077,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,2.00350823345686
5420283,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2013,1.00402163105231
5420371,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2013,1.62365
5420424,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,11.4554703106361
5562341,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.4393061075874702
5562518,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2014,0.977390401681162
